,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_popularity,explicit,album_popularity,artist_popularity,like,r&b,pop,rap,hip hop,funk,rock,duration_min
0,0.489,0.516,1,-8.921,0,0.308,0.446,0.0,0.0832,0.172,149.611,4,49,1,66,75,1,0,1,1,1,0,0,1.586
1,0.662,0.436,9,-12.9,0,0.0651,0.853,0.0,0.0624,0.627,92.85700000000001,4,47,0,45,51,1,0,1,0,0,0,1,2.97155
2,0.517,0.9279999999999999,4,-8.881,0,0.0448,0.0145,0.0233,0.48100000000000004,0.728,90.59299999999999,4,31,0,38,51,1,0,1,0,0,0,1,2.87845
3,0.82,0.40700000000000003,4,-11.300999999999998,0,0.0387,0.7709999999999999,0.0054399999999999995,0.113,0.77,125.64200000000001,4,42,0,45,51,1,0,1,0,0,0,1,2.30045
4,0.452,0.579,2,-11.085,1,0.0476,0.0153,0.893,0.637,0.929,84.615,4,61,0,68,72,1,0,0,0,0,1,0,3.562666666666667
5,0.6659999999999999,0.55,1,-8.228,0,0.0269,0.41,7.64e-06,0.185,0.795,140.062,4,15,0,14,45,1,0,0,0,0,0,0,2.5799166666666666
6,0.5589999999999999,0.601,3,-9.527999999999999,1,0.0464,0.26,0.0121,0.122,0.604,114.08,4,52,0,54,59,1,0,0,0,0,1,0,2.1022166666666666
7,0.614,0.49,10,-14.492,1,0.462,0.828,0.634,0.679,0.542,64.47800000000001,3,19,0,38,51,1,0,1,0,0,0,1,1.4933333333333334
8,0.527,0.632,0,-10.448,1,0.0424,0.28300000000000003,0.000964,0.484,0.772,101.459,4,40,0,38,51,1,0,1,0,0,0,1,3.032216666666667
9,0.281,0.221,11,-17.095,0,0.0302,0.7140000000000001,0.000312,0.107,0.179,145.274,4,31,0,36,41,1,0,0,0,0,0,1,5.582666666666666
10,0.7879999999999999,0.434,5,-7.815,0,0.0302,0.83,3.62e-06,0.0999,0.585,93.00299999999999,4,60,0,64,65,1,0,1,0,0,0,0,3.151116666666667
11,0.597,0.74,0,-10.12,1,0.0331,0.22399999999999998,3.58e-06,0.073,0.965,138.32399999999998,4,19,0,38,51,1,0,1,0,0,0,1,3.02
12,0.6779999999999999,0.604,11,-9.707,0,0.21600000000000003,0.21100000000000002,0.0,0.0694,0.688,102.695,4,11,0,24,19,1,0,0,0,0,0,0,3.662
13,0.561,0.627,7,-12.922,1,0.0312,0.429,0.29600000000000004,0.165,0.674,79.982,4,37,0,46,48,1,0,0,0,0,0,0,3.8111166666666665
14,0.62,0.309,4,-14.527999999999999,0,0.043,0.698,0.0424,0.11900000000000001,0.6,109.459,3,58,0,54,62,1,0,0,0,0,0,0,2.7933333333333334
15,0.42,0.53,5,-12.463,0,0.0318,0.579,0.825,0.19,0.8390000000000001,150.584,4,29,0,34,51,1,0,1,0,0,0,1,6.336216666666667
16,0.635,0.3,2,-13.957,0,0.0285,0.7070000000000001,0.8290000000000001,0.574,0.772,91.45200000000001,4,66,0,68,72,1,0,0,0,0,1,0,3.63845
