,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_popularity,explicit,artists,genres,album_popularity,artist_popularity
0,0.35,0.12,3.0,-11.104,0.0,0.0393,0.982,0.000289,0.103,0.121,68.995,audio_features,72794Eag03xdy7TO0KNuid,spotify:track:72794Eag03xdy7TO0KNuid,https://api.spotify.com/v1/tracks/72794Eag03xdy7TO0KNuid,https://api.spotify.com/v1/audio-analysis/72794Eag03xdy7TO0KNuid,202200.0,4.0,70,False,['Frank Ocean'],"[['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']]",[66],[87]
1,0.747,0.458,6.0,-6.891,1.0,0.303,0.451,0.0,0.252,0.47,75.029,audio_features,4uTvPEr01pjTbZgl7jcKBD,spotify:track:4uTvPEr01pjTbZgl7jcKBD,https://api.spotify.com/v1/tracks/4uTvPEr01pjTbZgl7jcKBD,https://api.spotify.com/v1/audio-analysis/4uTvPEr01pjTbZgl7jcKBD,182000.0,4.0,73,False,['Ariana Grande'],"[['dance pop', 'pop', 'post-teen pop']]",[91],[96]
2,0.538,0.64,7.0,-7.957,1.0,0.281,0.0727,2.74e-05,0.841,0.445,59.077,audio_features,40cayr7aVuRU8lXVn1PSpx,spotify:track:40cayr7aVuRU8lXVn1PSpx,https://api.spotify.com/v1/tracks/40cayr7aVuRU8lXVn1PSpx,https://api.spotify.com/v1/audio-analysis/40cayr7aVuRU8lXVn1PSpx,245206.0,4.0,53,False,"['Teyana Taylor', 'Ms. Lauryn Hill']","[['alternative r&b', 'dance pop', 'deep pop r&b', 'hip pop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'urban contemporary'], ['conscious hip hop', 'dance pop', 'hip pop', 'neo soul', 'new jersey rap', 'pop', 'r&b', 'soul', 'urban contemporary']]",[49],"[76, 73]"
3,0.811,0.797,5.0,-5.428,1.0,0.165,0.0617,0.0,0.112,0.541,97.988,audio_features,7sKDftgGirHWTVFMtJoDoh,spotify:track:7sKDftgGirHWTVFMtJoDoh,https://api.spotify.com/v1/tracks/7sKDftgGirHWTVFMtJoDoh,https://api.spotify.com/v1/audio-analysis/7sKDftgGirHWTVFMtJoDoh,171133.0,4.0,81,False,['Aya Nakamura'],[['basshall']],[81],[80]
4,0.518,0.762,7.0,-3.907,1.0,0.0305,0.0851,0.0,0.148,0.271,155.985,audio_features,00mBzIWv5gHOYxwuEJXjOG,spotify:track:00mBzIWv5gHOYxwuEJXjOG,https://api.spotify.com/v1/tracks/00mBzIWv5gHOYxwuEJXjOG,https://api.spotify.com/v1/audio-analysis/00mBzIWv5gHOYxwuEJXjOG,285138.0,4.0,66,False,['December Avenue'],"[['opm', 'pinoy indie', 'pinoy pop punk', 'pinoy rock']]",[62],[68]
5,0.839,0.475,0.0,-9.338,0.0,0.247,0.414,0.0,0.216,0.909,82.044,audio_features,3xOe1zHMBOjoPEKQZv6taJ,spotify:track:3xOe1zHMBOjoPEKQZv6taJ,https://api.spotify.com/v1/tracks/3xOe1zHMBOjoPEKQZv6taJ,https://api.spotify.com/v1/audio-analysis/3xOe1zHMBOjoPEKQZv6taJ,190272.0,4.0,25,False,['Parisalexa'],"[['alternative r&b', 'indie r&b']]",[21],[43]
6,0.875,0.599,9.0,-9.077,0.0,0.138,0.0333,0.0143,0.113,0.112,152.061,audio_features,1OuN92HcVG6NVpWbeESNB3,spotify:track:1OuN92HcVG6NVpWbeESNB3,https://api.spotify.com/v1/tracks/1OuN92HcVG6NVpWbeESNB3,https://api.spotify.com/v1/audio-analysis/1OuN92HcVG6NVpWbeESNB3,256507.0,4.0,64,False,['Mac Miller'],"[['hip hop', 'pittsburgh rap', 'pop rap', 'rap']]",[82],[87]
7,0.699,0.503,5.0,-9.922,0.0,0.0882,0.391,0.0126,0.0996,0.0546,114.86,audio_features,3R8CyhJfVjvgIROd5RSGhQ,spotify:track:3R8CyhJfVjvgIROd5RSGhQ,https://api.spotify.com/v1/tracks/3R8CyhJfVjvgIROd5RSGhQ,https://api.spotify.com/v1/audio-analysis/3R8CyhJfVjvgIROd5RSGhQ,220853.0,4.0,62,False,['Mac Miller'],"[['hip hop', 'pittsburgh rap', 'pop rap', 'rap']]",[82],[87]
8,0.794,0.32,1.0,-12.92,0.0,0.173,0.853,0.134,0.112,0.241,174.088,audio_features,1DWZUa5Mzf2BwzpHtgbHPY,spotify:track:1DWZUa5Mzf2BwzpHtgbHPY,https://api.spotify.com/v1/tracks/1DWZUa5Mzf2BwzpHtgbHPY,https://api.spotify.com/v1/audio-analysis/1DWZUa5Mzf2BwzpHtgbHPY,342040.0,4.0,76,False,['Mac Miller'],"[['hip hop', 'pittsburgh rap', 'pop rap', 'rap']]",[82],[87]
9,0.61,0.0316,9.0,-15.186,1.0,0.0486,0.896,0.00461,0.108,0.37,151.964,audio_features,4jXl6VtkFFKIt3ycUQc5LT,spotify:track:4jXl6VtkFFKIt3ycUQc5LT,https://api.spotify.com/v1/tracks/4jXl6VtkFFKIt3ycUQc5LT,https://api.spotify.com/v1/audio-analysis/4jXl6VtkFFKIt3ycUQc5LT,170360.0,4.0,69,False,[],[],[82],[]
