,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_popularity,explicit,artists,genres,album_popularity,artist_popularity,like
0,0.489,0.516,1,-8.921,0,0.308,0.446,0.0,0.0832,0.172,149.611,95160,4,49,True,['Damso'],"[['belgian hip hop', 'french hip hop', 'pop urbaine', 'rap conscient']]",[66],[75],1
1,0.662,0.436,9,-12.9,0,0.0651,0.853,0.0,0.0624,0.627,92.857,178293,4,47,False,['Jean Leloup'],"[['indie quebecois', 'pop quebecois', 'rock quebecois']]",[45],[51],1
2,0.517,0.928,4,-8.881,0,0.0448,0.0145,0.0233,0.481,0.728,90.593,172707,4,31,False,['Jean Leloup'],"[['indie quebecois', 'pop quebecois', 'rock quebecois']]",[38],[51],1
3,0.82,0.407,4,-11.301,0,0.0387,0.771,0.00544,0.113,0.77,125.642,138027,4,42,False,['Jean Leloup'],"[['indie quebecois', 'pop quebecois', 'rock quebecois']]",[45],[51],1
4,0.452,0.579,2,-11.085,1,0.0476,0.0153,0.893,0.637,0.929,84.615,213760,4,61,False,['Khruangbin'],"[['funk', 'indie soul', 'neo-psychedelic', 'soul']]",[68],[72],1
5,0.666,0.55,1,-8.228,0,0.0269,0.41,7.64e-06,0.185,0.795,140.062,154795,4,15,False,['Vicente Cifuentes'],"[['bachata', 'chilean indie']]",[14],[45],1
6,0.559,0.601,3,-9.528,1,0.0464,0.26,0.0121,0.122,0.604,114.08,126133,4,52,False,['Bobby Womack'],"[['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']]",[54],[59],1
7,0.614,0.49,10,-14.492,1,0.462,0.828,0.634,0.679,0.542,64.478,89600,3,19,False,['Jean Leloup'],"[['indie quebecois', 'pop quebecois', 'rock quebecois']]",[38],[51],1
8,0.527,0.632,0,-10.448,1,0.0424,0.283,0.000964,0.484,0.772,101.459,181933,4,40,False,['Jean Leloup'],"[['indie quebecois', 'pop quebecois', 'rock quebecois']]",[38],[51],1
9,0.281,0.221,11,-17.095,0,0.0302,0.714,0.000312,0.107,0.179,145.274,334960,4,31,False,['Harmonium'],"[['indie quebecois', 'prog quebec', 'symphonic rock']]",[36],[41],1
