,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_popularity,explicit,artists,genres,album_popularity,artist_popularity
0,0.35,0.12,3.0,-11.104,0.0,0.0393,0.982,0.000289,0.103,0.121,68.995,202200.0,4.0,73,False,['Frank Ocean'],"[['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']]",[66],[86]
1,0.747,0.458,6.0,-6.891,1.0,0.303,0.451,0.0,0.252,0.47,75.029,182000.0,4.0,74,False,['Ariana Grande'],"[['dance pop', 'pop', 'post-teen pop']]",[89],[95]
2,0.538,0.64,7.0,-7.957,1.0,0.281,0.0727,2.74e-05,0.841,0.445,59.077,245206.0,4.0,55,False,"['Teyana Taylor', 'Ms. Lauryn Hill']","[['alternative r&b', 'deep pop r&b', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary'], ['conscious hip hop', 'dance pop', 'hip pop', 'neo soul', 'new jersey rap', 'pop', 'r&b', 'urban contemporary']]","[48, 48]","[70, 72]"
3,0.829,0.797,5.0,-5.428,1.0,0.109,0.0617,0.0,0.112,0.549,97.972,171133.0,4.0,81,False,['Aya Nakamura'],[['basshall']],[79],[77]
4,0.518,0.762,7.0,-3.907,1.0,0.0305,0.0851,0.0,0.148,0.271,155.985,285138.0,4.0,66,False,['December Avenue'],"[['opm', 'pinoy indie', 'pinoy pop punk', 'pinoy rock']]",[60],[68]
5,0.839,0.475,0.0,-9.338,0.0,0.247,0.414,0.0,0.216,0.909,82.044,190272.0,4.0,29,False,['Parisalexa'],"[['alternative r&b', 'indie r&b']]",[23],[43]
6,0.875,0.599,9.0,-9.077,0.0,0.138,0.0333,0.0143,0.113,0.112,152.061,256507.0,4.0,66,False,['Mac Miller'],"[['hip hop', 'pittsburgh rap', 'rap']]",[81],[86]
7,0.699,0.503,5.0,-9.922,0.0,0.0882,0.391,0.0126,0.0996,0.0546,114.86,220853.0,4.0,65,False,['Mac Miller'],"[['hip hop', 'pittsburgh rap', 'rap']]",[81],[86]
8,0.794,0.32,1.0,-12.92,0.0,0.173,0.853,0.134,0.112,0.241,174.088,342040.0,4.0,77,False,['Mac Miller'],"[['hip hop', 'pittsburgh rap', 'rap']]",[81],[86]
9,0.61,0.0316,9.0,-15.186,1.0,0.0486,0.896,0.00461,0.108,0.37,151.964,170360.0,4.0,71,False,['Mac Miller'],"[['hip hop', 'pittsburgh rap', 'rap']]",[81],[86]
10,0.831,0.36,0.0,-8.073,1.0,0.052,0.136,0.00217,0.0703,0.601,75.014,232212.0,4.0,67,False,['Mac Miller'],"[['hip hop', 'pittsburgh rap', 'rap']]",[81],[86]
11,0.742,0.553,8.0,-8.98,1.0,0.419,0.389,0.0,0.0694,0.508,84.931,209440.0,4.0,76,True,['Mac Miller'],"[['hip hop', 'pittsburgh rap', 'rap']]",[81],[86]
12,0.471,0.411,0.0,-9.5,1.0,0.295,0.81,0.0,0.135,0.363,89.484,211227.0,1.0,67,True,['Jhené Aiko'],"[['alternative r&b', 'pop', 'r&b', 'urban contemporary']]",[61],[84]
13,0.866,0.679,6.0,-6.74,0.0,0.388,0.214,4.8e-06,0.101,0.272,115.015,268087.0,4.0,48,False,"['Teedra Moses', 'KAYTRANADA']","[['alternative r&b', 'hip pop', 'indie r&b', 'neo soul', 'r&b', 'urban contemporary'], ['escape room', 'indie soul', 'lgbtq+ hip hop']]","[41, 41]","[53, 73]"
14,0.672,0.66,6.0,-6.788,0.0,0.0387,0.122,0.0,0.109,0.462,152.077,182921.0,4.0,7,False,['Heartstreets'],[['montreal indie']],[20],[29]
15,0.913,0.201,0.0,-9.511,1.0,0.15,0.0979,0.487,0.0867,0.519,87.359,382333.0,4.0,57,False,"[""D'Angelo""]","[['alternative r&b', 'funk', 'hip hop', 'indie soul', 'neo soul', 'r&b', 'soul', 'urban contemporary']]",[62],[67]
16,0.844,0.558,9.0,-11.416,0.0,0.153,0.243,0.647,0.0893,0.353,90.888,267578.0,4.0,46,False,['Gabriel Garzón-Montano'],"[['alternative r&b', 'indie jazz', 'indie soul', 'neo r&b']]",[41],[49]
17,0.668,0.0556,0.0,-13.137,1.0,0.0811,0.904,0.00281,0.0752,0.165,115.896,298907.0,3.0,2,False,['Gabriel Garzón-Montano'],"[['alternative r&b', 'indie jazz', 'indie soul', 'neo r&b']]",[1],[49]
18,0.453,0.538,1.0,-8.212,1.0,0.0638,0.449,0.0,0.19,0.516,122.973,204533.0,4.0,84,True,['BROCKHAMPTON'],"[['boy band', 'pop', 'rap']]",[81],[81]
19,0.529,0.579,0.0,-5.227,1.0,0.227,0.232,0.0,0.0668,0.605,83.934,209736.0,1.0,5,True,['Steven G'],[[]],[3],[36]
20,0.727,0.548,11.0,-5.325,0.0,0.0341,0.742,0.000295,0.262,0.5,125.884,129524.0,4.0,43,True,['Down to Mars'],"[['indie r&b', 'lo-fi chill']]",[37],[31]
21,0.533,0.444,4.0,-9.979,1.0,0.116,0.858,0.00288,0.137,0.445,83.732,120869.0,4.0,24,False,['Peach Tree Rascals'],"[['alternative r&b', 'indie r&b']]",[18],[66]
22,0.588,0.347,8.0,-12.051,1.0,0.0609,0.899,0.0,0.116,0.46,95.618,240672.0,4.0,27,True,['Peach Tree Rascals'],"[['alternative r&b', 'indie r&b']]",[21],[66]
23,0.654,0.441,10.0,-6.673,1.0,0.0248,0.528,0.0,0.113,0.383,96.009,226972.0,4.0,47,False,['Dori Valentine'],[[]],[40],[36]
24,0.811,0.401,4.0,-4.909,1.0,0.0409,0.105,0.0,0.0785,0.815,86.023,100563.0,4.0,56,False,['Steve Lacy'],[['rap']],[65],[72]
25,0.573,0.707,5.0,-7.255,0.0,0.0944,0.0532,0.00231,0.0911,0.0577,136.222,544026.0,4.0,47,False,"['Steve Lacy', 'DAISY']","[['rap'], ['la pop']]","[65, 65]","[72, 43]"
26,0.482,0.788,7.0,-6.309,1.0,0.0425,0.113,0.00437,0.344,0.854,191.776,213798.0,4.0,58,False,['Steve Lacy'],[['rap']],[65],[72]
27,0.644,0.931,8.0,-5.343,0.0,0.0687,0.148,0.0558,0.386,0.912,174.881,109819.0,4.0,53,True,['Steve Lacy'],[['rap']],[65],[72]
28,0.815,0.731,5.0,-7.615,0.0,0.0795,0.0412,0.000263,0.215,0.497,128.968,141531.0,4.0,45,False,['Steve Lacy'],[['rap']],[65],[72]
29,0.543,0.59,9.0,-9.379,0.0,0.0393,0.0242,0.0404,0.577,0.741,79.882,183075.0,3.0,49,False,['Steve Lacy'],[['rap']],[65],[72]
30,0.824,0.716,0.0,-7.089,1.0,0.0526,0.000916,0.0148,0.299,0.771,107.994,160183.0,4.0,48,False,['Steve Lacy'],[['rap']],[65],[72]
31,0.61,0.439,0.0,-7.708,1.0,0.0339,0.983,0.00385,0.437,0.47,121.009,120770.0,4.0,45,True,['Steve Lacy'],[['rap']],[65],[72]
32,0.421,0.887,0.0,-4.929,1.0,0.0574,0.18,0.00177,0.52,0.45,78.986,222981.0,4.0,47,False,['Steve Lacy'],[['rap']],[65],[72]
33,0.182,0.249,0.0,-11.835,1.0,0.0395,0.917,0.924,0.306,0.136,203.461,190511.0,3.0,45,False,['Steve Lacy'],[['rap']],[65],[72]
34,0.838,0.536,2.0,-6.288,1.0,0.0435,0.072,0.000259,0.208,0.89,119.956,224444.0,4.0,64,False,['Steve Lacy'],[['rap']],[65],[72]
35,0.419,0.587,9.0,-6.198,0.0,0.0557,0.0992,1.81e-05,0.117,0.0767,124.88,374352.0,3.0,44,True,['Steve Lacy'],[['rap']],[65],[72]
36,0.811,0.401,4.0,-4.909,1.0,0.0409,0.105,0.0,0.0785,0.815,86.023,100563.0,4.0,19,False,['Steve Lacy'],[['rap']],[29],[72]
